has_coal,id,name,number,parliament_id,region_id
,29935,Emmendingen - Lahr,187,6,2953481
,30204,Erfurt,300,6,2822542
,29987,,197,6,2953481
,29942,Eisenach - Mühlhausen,297,6,2822542
,30063,,283,6,2842565
,29982,Minden-Lübbecke,104,6,2861876
,30017,,145,6,2905330
,30163,,25,6,2861876
,30268,München-Süd,206,6,2951839
,30274,Main-Taunus,181,6,2905330
,30263,Konstanz,191,6,2953481
,30069,Weimar-Apolda-Erfurt-Land,301,6,2822542
,30289,,15,6,2861876
,30242,,7,6,2861876
,30133,,5,6,2847618
,30196,,59,6,2861876
,30265,Essen I,88,6,2861876
,30240,,38,6,2951839
,30267,Karlsruhe-Stadt,175,6,2953481
,30260,,324,6,2842566
,30253,,311,6,2842566
,30275,,21,6,2905330
,30239,Freising,200,6,2951839
,30106,Bochum II - Ennepe-Ruhr-Kreis II,111,6,2861876
,30121,Zwickau,166,6,2842566
,30220,Delitzsch-Eilenburg-Torgau-Wurzen,308,6,2842566
,30147,,50,6,2861876
,30221,,252,6,2950157
